Area,Sq area,Population,Households
City,1.3,36412,12967
Manor Castle,2.09,21223,9063
Burngreave,2.8,27481,9906
Nether Edge and Sharrow,1.31,18890,7592
Stannington,39,18222,8030
Walkley,1,21793,9654
Firth Park,1.66,21141,8602
Birley,1.97,16943,7393
Stocksbridge and Upper Don,26,18541,8099
Mosborough,3.44,17097,7579
Beauchief and Greenhill,2.4,18815,8882
Graves Park,2.24,16705,7464
Shiregreen and Brightside,2.51,20826,8696
Fulwood,8.96,18233,6476
Broomhill and Sharrow Vale,1.04,16966,5708
Darnall,6.72,23489,8809
East Ecclesfield,3.78,18295,7863
West Ecclesfield,4.83,17699,7675
Park and Arbourthorne,1.74,17500,7800
Gleadless Valley,1.73,21089,9516
Richmond,1.74,17724,7827
Beighton,2.2,17939,7538
Ecclesall,3.6,18461,7413
Woodhouse,2.7,17450,7764
Dore and Totley,10.15,16740,7334
Crookes and Crosspool,1.51,17700,7266
Southey,1.8,19086,8295
Hillsborough,1.78,18605,8012
