"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"1","E01032924","Barnsley 026F","E05000978","Darfield","Barnsley"
"2","E01032925","Barnsley 026G","E05000995","Wombwell","Barnsley"
"3","E01032926","Rotherham 012E","E05001031","Silverwood","Rotherham"
"4","E01032927","Rotherham 012F","E05001037","Wickersley","Rotherham"
"5","E01033259","Doncaster 014E","E05010729","Armthorpe","Doncaster"
"6","E01033260","Doncaster 014F","E05010729","Armthorpe","Doncaster"
"7","E01033261","Sheffield 073A","E05010862","City","Sheffield"
"8","E01033262","Sheffield 073B","E05010862","City","Sheffield"
"9","E01033263","Sheffield 073C","E05010862","City","Sheffield"
"10","E01033264","Sheffield 073D","E05010862","City","Sheffield"
"11","E01033265","Sheffield 074C","E05010862","City","Sheffield"
"12","E01033266","Sheffield 074D","E05010862","City","Sheffield"
"13","E01033267","Sheffield 074E","E05010862","City","Sheffield"
"14","E01033268","Sheffield 075G","E05010873","Manor Castle","Sheffield"
"15","E01033269","Sheffield 022G","E05010861","Burngreave","Sheffield"
"16","E01033270","Sheffield 022H","E05010861","Burngreave","Sheffield"
"17","E01033271","Sheffield 040E","E05010875","Nether Edge and Sharrow","Sheffield"
"18","E01033272","Sheffield 040F","E05010875","Nether Edge and Sharrow","Sheffield"
"19","E01033273","Sheffield 042F","E05010862","City","Sheffield"
"20","E01033274","Sheffield 042G","E05010862","City","Sheffield"
"21","E01033275","Sheffield 008F","E05010880","Stannington","Sheffield"
"22","E01033276","Sheffield 073E","E05010882","Walkley","Sheffield"
"23","E01033277","Sheffield 011E","E05010868","Firth Park","Sheffield"
"24","E01033278","Sheffield 076E","E05010859","Birley","Sheffield"
"25","E01033279","Sheffield 076F","E05010859","Birley","Sheffield"
"26","E01033280","Sheffield 008G","E05010881","Stocksbridge and Upper Don","Sheffield"
"27","E01032550","Barnsley 010G","E05000993","St Helens","Barnsley"
"28","E01032551","Barnsley 010H","E05000988","Old Town","Barnsley"
"29","E01032585","Sheffield 072E","E05010874","Mosborough","Sheffield"
"30","E01007343","Barnsley 003D","E05000977","Cudworth","Barnsley"
"31","E01007344","Barnsley 011A","E05000977","Cudworth","Barnsley"
"32","E01007345","Barnsley 008B","E05000977","Cudworth","Barnsley"
"33","E01007346","Barnsley 008C","E05000977","Cudworth","Barnsley"
"34","E01007347","Barnsley 008D","E05000977","Cudworth","Barnsley"
"35","E01007348","Barnsley 020A","E05000978","Darfield","Barnsley"
"36","E01007349","Barnsley 020B","E05000987","North East","Barnsley"
"37","E01007350","Barnsley 020C","E05000978","Darfield","Barnsley"
"38","E01007351","Barnsley 020D","E05000978","Darfield","Barnsley"
"39","E01007352","Barnsley 020E","E05000978","Darfield","Barnsley"
"40","E01007353","Barnsley 020F","E05000978","Darfield","Barnsley"
"41","E01007354","Barnsley 020G","E05000987","North East","Barnsley"
"42","E01007355","Barnsley 005A","E05000979","Darton East","Barnsley"
"43","E01007356","Barnsley 004A","E05000979","Darton East","Barnsley"
"44","E01007357","Barnsley 004B","E05000979","Darton East","Barnsley"
"45","E01007358","Barnsley 005B","E05000979","Darton East","Barnsley"
"46","E01007359","Barnsley 005C","E05000980","Darton West","Barnsley"
"47","E01007360","Barnsley 005D","E05000980","Darton West","Barnsley"
"48","E01007361","Barnsley 004C","E05000979","Darton East","Barnsley"
"49","E01007362","Barnsley 004D","E05000979","Darton East","Barnsley"
"50","E01007363","Barnsley 004E","E05000979","Darton East","Barnsley"
"51","E01007364","Barnsley 025A","E05000982","Dearne South","Barnsley"
"52","E01007365","Barnsley 025B","E05000982","Dearne South","Barnsley"
"53","E01007366","Barnsley 025C","E05000982","Dearne South","Barnsley"
"54","E01007367","Barnsley 025D","E05000982","Dearne South","Barnsley"
"55","E01007368","Barnsley 025E","E05000982","Dearne South","Barnsley"
"56","E01007369","Barnsley 022A","E05000981","Dearne North","Barnsley"
"57","E01007370","Barnsley 022B","E05000982","Dearne South","Barnsley"
"58","E01007371","Barnsley 022C","E05000982","Dearne South","Barnsley"
"59","E01007372","Barnsley 014A","E05000981","Dearne North","Barnsley"
"60","E01007373","Barnsley 014B","E05000981","Dearne North","Barnsley"
"61","E01007374","Barnsley 014C","E05000981","Dearne North","Barnsley"
"62","E01007375","Barnsley 014D","E05000981","Dearne North","Barnsley"
"63","E01007376","Barnsley 022D","E05000981","Dearne North","Barnsley"
"64","E01007377","Barnsley 014E","E05000981","Dearne North","Barnsley"
"65","E01007378","Barnsley 014F","E05000981","Dearne North","Barnsley"
"66","E01007379","Barnsley 012A","E05000983","Dodworth","Barnsley"
"67","E01007380","Barnsley 012B","E05000980","Darton West","Barnsley"
"68","E01007381","Barnsley 012C","E05000980","Darton West","Barnsley"
"69","E01007382","Barnsley 019A","E05000983","Dodworth","Barnsley"
"70","E01007383","Barnsley 019B","E05000983","Dodworth","Barnsley"
"71","E01007384","Barnsley 019C","E05000983","Dodworth","Barnsley"
"72","E01007385","Barnsley 019D","E05000983","Dodworth","Barnsley"
"73","E01007386","Barnsley 005E","E05000980","Darton West","Barnsley"
"74","E01007387","Barnsley 012D","E05000980","Darton West","Barnsley"
"75","E01007388","Barnsley 029A","E05000984","Hoyland Milton","Barnsley"
"76","E01007389","Barnsley 030A","E05000984","Hoyland Milton","Barnsley"
"77","E01007390","Barnsley 030B","E05000991","Rockingham","Barnsley"
"78","E01007391","Barnsley 030C","E05000991","Rockingham","Barnsley"
"79","E01007392","Barnsley 030D","E05000984","Hoyland Milton","Barnsley"
"80","E01007317","Barnsley 018A","E05000994","Stairfoot","Barnsley"
"81","E01007318","Barnsley 018B","E05000994","Stairfoot","Barnsley"
"82","E01007319","Barnsley 015A","E05000994","Stairfoot","Barnsley"
"83","E01007320","Barnsley 018C","E05000994","Stairfoot","Barnsley"
"84","E01007321","Barnsley 015B","E05000994","Stairfoot","Barnsley"
"85","E01007322","Barnsley 015C","E05000994","Stairfoot","Barnsley"
"86","E01007323","Barnsley 007A","E05000993","St Helens","Barnsley"
"87","E01007324","Barnsley 007B","E05000993","St Helens","Barnsley"
"88","E01007325","Barnsley 007C","E05000993","St Helens","Barnsley"
"89","E01007326","Barnsley 007D","E05000993","St Helens","Barnsley"
"90","E01007327","Barnsley 007E","E05000993","St Helens","Barnsley"
"91","E01007328","Barnsley 006A","E05000987","North East","Barnsley"
"92","E01007329","Barnsley 003A","E05000987","North East","Barnsley"
"93","E01007330","Barnsley 006B","E05000987","North East","Barnsley"
"94","E01007331","Barnsley 003B","E05000987","North East","Barnsley"
"95","E01007332","Barnsley 006C","E05000987","North East","Barnsley"
"96","E01007333","Barnsley 006D","E05000987","North East","Barnsley"
"97","E01007334","Barnsley 009A","E05000976","Central","Barnsley"
"98","E01007335","Barnsley 009B","E05000976","Central","Barnsley"
"99","E01007336","Barnsley 013A","E05000976","Central","Barnsley"
