"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID"
"1","E01033261","Sheffield 073A","E05010862","City",NA,"E08000019","Sheffield",32298
"2","E01033262","Sheffield 073B","E05010862","City",NA,"E08000019","Sheffield",32299
"3","E01033263","Sheffield 073C","E05010862","City",NA,"E08000019","Sheffield",32300
"4","E01033264","Sheffield 073D","E05010862","City",NA,"E08000019","Sheffield",32301
"5","E01033265","Sheffield 074C","E05010862","City",NA,"E08000019","Sheffield",32302
"6","E01033266","Sheffield 074D","E05010862","City",NA,"E08000019","Sheffield",32303
"7","E01033267","Sheffield 074E","E05010862","City",NA,"E08000019","Sheffield",32304
"8","E01033268","Sheffield 075G","E05010873","Manor Castle",NA,"E08000019","Sheffield",32305
"9","E01033269","Sheffield 022G","E05010861","Burngreave",NA,"E08000019","Sheffield",32401
"10","E01033270","Sheffield 022H","E05010861","Burngreave",NA,"E08000019","Sheffield",32402
"11","E01033271","Sheffield 040E","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",32403
"12","E01033272","Sheffield 040F","E05010875","Nether Edge and Sharrow",NA,"E08000019","Sheffield",32404
"13","E01033273","Sheffield 042F","E05010862","City",NA,"E08000019","Sheffield",32405
"14","E01033274","Sheffield 042G","E05010862","City",NA,"E08000019","Sheffield",32406
"15","E01033275","Sheffield 008F","E05010880","Stannington",NA,"E08000019","Sheffield",32407
"16","E01033276","Sheffield 073E","E05010882","Walkley",NA,"E08000019","Sheffield",32408
"17","E01033277","Sheffield 011E","E05010868","Firth Park",NA,"E08000019","Sheffield",32409
"18","E01033278","Sheffield 076E","E05010859","Birley",NA,"E08000019","Sheffield",32410
"19","E01033279","Sheffield 076F","E05010859","Birley",NA,"E08000019","Sheffield",32411
"20","E01033280","Sheffield 008G","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",32412
"21","E01032585","Sheffield 072E","E05010874","Mosborough",NA,"E08000019","Sheffield",31931
"22","E01007823","Sheffield 069A","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7625
"23","E01007824","Sheffield 066A","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7626
"24","E01007825","Sheffield 066B","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7627
"25","E01007826","Sheffield 066C","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7628
"26","E01007827","Sheffield 064A","E05010871","Graves Park",NA,"E08000019","Sheffield",7629
"27","E01007828","Sheffield 059A","E05010871","Graves Park",NA,"E08000019","Sheffield",7630
"28","E01007829","Sheffield 059B","E05010871","Graves Park",NA,"E08000019","Sheffield",7631
"29","E01007830","Sheffield 064B","E05010871","Graves Park",NA,"E08000019","Sheffield",7632
"30","E01007831","Sheffield 059C","E05010871","Graves Park",NA,"E08000019","Sheffield",7633
"31","E01007832","Sheffield 059D","E05010871","Graves Park",NA,"E08000019","Sheffield",7634
"32","E01007833","Sheffield 064C","E05010871","Graves Park",NA,"E08000019","Sheffield",7635
"33","E01007834","Sheffield 066D","E05010857","Beauchief and Greenhill",NA,"E08000019","Sheffield",7636
"34","E01007835","Sheffield 062A","E05010859","Birley",NA,"E08000019","Sheffield",7637
"35","E01007836","Sheffield 062B","E05010859","Birley",NA,"E08000019","Sheffield",7638
"36","E01007838","Sheffield 076A","E05010859","Birley",NA,"E08000019","Sheffield",7639
"37","E01007839","Sheffield 076B","E05010859","Birley",NA,"E08000019","Sheffield",7640
"38","E01007841","Sheffield 076C","E05010859","Birley",NA,"E08000019","Sheffield",7641
"39","E01007842","Sheffield 076D","E05010859","Birley",NA,"E08000019","Sheffield",7642
"40","E01007843","Sheffield 062C","E05010859","Birley",NA,"E08000019","Sheffield",7643
"41","E01007846","Sheffield 062D","E05010859","Birley",NA,"E08000019","Sheffield",7644
"42","E01007847","Sheffield 014A","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7645
"43","E01007848","Sheffield 013A","E05010868","Firth Park",NA,"E08000019","Sheffield",7646
"44","E01007849","Sheffield 010A","E05010868","Firth Park",NA,"E08000019","Sheffield",7647
"45","E01007850","Sheffield 014B","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7648
"46","E01007851","Sheffield 013B","E05010868","Firth Park",NA,"E08000019","Sheffield",7649
"47","E01007852","Sheffield 014C","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7650
"48","E01007853","Sheffield 014D","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7651
"49","E01007854","Sheffield 014E","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7652
"50","E01007855","Sheffield 014F","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7653
"51","E01007856","Sheffield 007A","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7654
"52","E01007857","Sheffield 010B","E05010878","Shiregreen and Brightside",NA,"E08000019","Sheffield",7655
"53","E01007858","Sheffield 038A","E05010869","Fulwood",NA,"E08000019","Sheffield",7656
"54","E01007859","Sheffield 036A","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7657
"55","E01007860","Sheffield 036B","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7658
"56","E01007861","Sheffield 038B","E05010869","Fulwood",NA,"E08000019","Sheffield",7659
"57","E01007862","Sheffield 038C","E05010869","Fulwood",NA,"E08000019","Sheffield",7660
"58","E01007863","Sheffield 036C","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7661
"59","E01007864","Sheffield 036D","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7662
"60","E01007865","Sheffield 038D","E05010869","Fulwood",NA,"E08000019","Sheffield",7663
"61","E01007866","Sheffield 030A","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7664
"62","E01007867","Sheffield 030B","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7665
"63","E01007868","Sheffield 030C","E05010860","Broomhill and Sharrow Vale",NA,"E08000019","Sheffield",7666
"64","E01007869","Sheffield 020A","E05010861","Burngreave",NA,"E08000019","Sheffield",7667
"65","E01007870","Sheffield 019A","E05010861","Burngreave",NA,"E08000019","Sheffield",7668
"66","E01007871","Sheffield 019B","E05010861","Burngreave",NA,"E08000019","Sheffield",7669
"67","E01007872","Sheffield 020B","E05010861","Burngreave",NA,"E08000019","Sheffield",7670
"68","E01007873","Sheffield 020C","E05010861","Burngreave",NA,"E08000019","Sheffield",7671
"69","E01007874","Sheffield 022A","E05010861","Burngreave",NA,"E08000019","Sheffield",7672
"70","E01007875","Sheffield 022B","E05010861","Burngreave",NA,"E08000019","Sheffield",7673
"71","E01007877","Sheffield 022D","E05010861","Burngreave",NA,"E08000019","Sheffield",7674
"72","E01007878","Sheffield 075A","E05010873","Manor Castle",NA,"E08000019","Sheffield",7675
"73","E01007879","Sheffield 075B","E05010873","Manor Castle",NA,"E08000019","Sheffield",7676
"74","E01007881","Sheffield 075C","E05010873","Manor Castle",NA,"E08000019","Sheffield",7677
"75","E01007882","Sheffield 075D","E05010873","Manor Castle",NA,"E08000019","Sheffield",7678
"76","E01007883","Sheffield 027A","E05010864","Darnall",NA,"E08000019","Sheffield",7679
"77","E01007885","Sheffield 075E","E05010873","Manor Castle",NA,"E08000019","Sheffield",7680
"78","E01007886","Sheffield 075F","E05010873","Manor Castle",NA,"E08000019","Sheffield",7681
"79","E01007887","Sheffield 004A","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7682
"80","E01007888","Sheffield 003A","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7683
"81","E01007889","Sheffield 004B","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7684
"82","E01007890","Sheffield 004C","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7685
"83","E01007891","Sheffield 004D","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7686
