"LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID","LSOA name.x"
"E01001167","Croydon 028A","E05000167","Waddon",NA,"E09000008","Croydon",1149,"Croydon 028A"
"E01001842","Hackney 023D","E05009386","Victoria",NA,"E09000012","Hackney",1796,"Hackney 023D"
"E01003728","Redbridge 032A","E05000507","Loxford",NA,"E09000026","Redbridge",3837,"Redbridge 032A"
"E01005473","Rochdale 010B","E05000748","Milkstone and Deeplish",NA,"E08000005","Rochdale",5427,"Rochdale 010B"
"E01005693","Salford 009D","E05000772","Swinton North",NA,"E08000006","Salford",5583,"Salford 009D"
"E01005908","Stockport 017D","E05000794","Marple North",NA,"E08000007","Stockport",5900,"Stockport 017D"
"E01005966","Tameside 019D","E05000803","Audenshaw",NA,"E08000008","Tameside",5907,"Tameside 019D"
"E01006110","Trafford 001B","E05000825","Clifford",NA,"E08000009","Trafford",5852,"Trafford 001B"
"E01006320","Wigan 003F","E05000858","Shevington with Lower Ground",NA,"E08000010","Wigan",6360,"Wigan 003F"
"E01007317","Barnsley 018A","E05000994","Stairfoot",NA,"E08000016","Barnsley",7175,"Barnsley 018A"
"E01007318","Barnsley 018B","E05000994","Stairfoot",NA,"E08000016","Barnsley",7176,"Barnsley 018B"
"E01007319","Barnsley 015A","E05000994","Stairfoot",NA,"E08000016","Barnsley",7177,"Barnsley 015A"
"E01007320","Barnsley 018C","E05000994","Stairfoot",NA,"E08000016","Barnsley",7178,"Barnsley 018C"
"E01007321","Barnsley 015B","E05000994","Stairfoot",NA,"E08000016","Barnsley",7179,"Barnsley 015B"
"E01007322","Barnsley 015C","E05000994","Stairfoot",NA,"E08000016","Barnsley",7180,"Barnsley 015C"
"E01007323","Barnsley 007A","E05000993","St Helens",NA,"E08000016","Barnsley",7181,"Barnsley 007A"
"E01007324","Barnsley 007B","E05000993","St Helens",NA,"E08000016","Barnsley",7182,"Barnsley 007B"
"E01007325","Barnsley 007C","E05000993","St Helens",NA,"E08000016","Barnsley",7183,"Barnsley 007C"
"E01007326","Barnsley 007D","E05000993","St Helens",NA,"E08000016","Barnsley",7184,"Barnsley 007D"
"E01007327","Barnsley 007E","E05000993","St Helens",NA,"E08000016","Barnsley",7185,"Barnsley 007E"
"E01007328","Barnsley 006A","E05000987","North East",NA,"E08000016","Barnsley",7186,"Barnsley 006A"
"E01007329","Barnsley 003A","E05000987","North East",NA,"E08000016","Barnsley",7187,"Barnsley 003A"
"E01007330","Barnsley 006B","E05000987","North East",NA,"E08000016","Barnsley",7188,"Barnsley 006B"
"E01007331","Barnsley 003B","E05000987","North East",NA,"E08000016","Barnsley",7189,"Barnsley 003B"
"E01007332","Barnsley 006C","E05000987","North East",NA,"E08000016","Barnsley",7190,"Barnsley 006C"
"E01007333","Barnsley 006D","E05000987","North East",NA,"E08000016","Barnsley",7191,"Barnsley 006D"
"E01007334","Barnsley 009A","E05000976","Central",NA,"E08000016","Barnsley",7192,"Barnsley 009A"
"E01007335","Barnsley 009B","E05000976","Central",NA,"E08000016","Barnsley",7193,"Barnsley 009B"
"E01007336","Barnsley 013A","E05000976","Central",NA,"E08000016","Barnsley",7194,"Barnsley 013A"
"E01007337","Barnsley 015D","E05000976","Central",NA,"E08000016","Barnsley",7195,"Barnsley 015D"
"E01007338","Barnsley 017A","E05000976","Central",NA,"E08000016","Barnsley",7196,"Barnsley 017A"
"E01007339","Barnsley 017B","E05000976","Central",NA,"E08000016","Barnsley",7197,"Barnsley 017B"
"E01007340","Barnsley 013B","E05000985","Kingstone",NA,"E08000016","Barnsley",7198,"Barnsley 013B"
"E01007341","Barnsley 008A","E05000977","Cudworth",NA,"E08000016","Barnsley",7199,"Barnsley 008A"
"E01007342","Barnsley 003C","E05000977","Cudworth",NA,"E08000016","Barnsley",7200,"Barnsley 003C"
"E01007343","Barnsley 003D","E05000977","Cudworth",NA,"E08000016","Barnsley",7101,"Barnsley 003D"
"E01007344","Barnsley 011A","E05000977","Cudworth",NA,"E08000016","Barnsley",7102,"Barnsley 011A"
"E01007345","Barnsley 008B","E05000977","Cudworth",NA,"E08000016","Barnsley",7103,"Barnsley 008B"
"E01007346","Barnsley 008C","E05000977","Cudworth",NA,"E08000016","Barnsley",7104,"Barnsley 008C"
"E01007347","Barnsley 008D","E05000977","Cudworth",NA,"E08000016","Barnsley",7105,"Barnsley 008D"
"E01007348","Barnsley 020A","E05000978","Darfield",NA,"E08000016","Barnsley",7106,"Barnsley 020A"
"E01007349","Barnsley 020B","E05000987","North East",NA,"E08000016","Barnsley",7107,"Barnsley 020B"
"E01007350","Barnsley 020C","E05000978","Darfield",NA,"E08000016","Barnsley",7108,"Barnsley 020C"
"E01007351","Barnsley 020D","E05000978","Darfield",NA,"E08000016","Barnsley",7109,"Barnsley 020D"
"E01007352","Barnsley 020E","E05000978","Darfield",NA,"E08000016","Barnsley",7110,"Barnsley 020E"
"E01007353","Barnsley 020F","E05000978","Darfield",NA,"E08000016","Barnsley",7111,"Barnsley 020F"
"E01007354","Barnsley 020G","E05000987","North East",NA,"E08000016","Barnsley",7112,"Barnsley 020G"
"E01007355","Barnsley 005A","E05000979","Darton East",NA,"E08000016","Barnsley",7113,"Barnsley 005A"
"E01007356","Barnsley 004A","E05000979","Darton East",NA,"E08000016","Barnsley",7114,"Barnsley 004A"
"E01007357","Barnsley 004B","E05000979","Darton East",NA,"E08000016","Barnsley",7115,"Barnsley 004B"
"E01007358","Barnsley 005B","E05000979","Darton East",NA,"E08000016","Barnsley",7116,"Barnsley 005B"
"E01007359","Barnsley 005C","E05000980","Darton West",NA,"E08000016","Barnsley",7117,"Barnsley 005C"
"E01007360","Barnsley 005D","E05000980","Darton West",NA,"E08000016","Barnsley",7118,"Barnsley 005D"
"E01007361","Barnsley 004C","E05000979","Darton East",NA,"E08000016","Barnsley",7119,"Barnsley 004C"
"E01007362","Barnsley 004D","E05000979","Darton East",NA,"E08000016","Barnsley",7120,"Barnsley 004D"
"E01007363","Barnsley 004E","E05000979","Darton East",NA,"E08000016","Barnsley",7121,"Barnsley 004E"
"E01007364","Barnsley 025A","E05000982","Dearne South",NA,"E08000016","Barnsley",7122,"Barnsley 025A"
"E01007365","Barnsley 025B","E05000982","Dearne South",NA,"E08000016","Barnsley",7123,"Barnsley 025B"
"E01007366","Barnsley 025C","E05000982","Dearne South",NA,"E08000016","Barnsley",7124,"Barnsley 025C"
