"LSOA Code","Area","City","Street","Dim Location ID"
"E01007317","Stairfoot","Barnsley","On or near Broom Close",1
"E01007317","Stairfoot","Barnsley","On or near Swanee Road",2
"E01007317","Stairfoot","Barnsley","On or near Calder Crescent",3
"E01007317","Stairfoot","Barnsley","On or near Lockeaflash Crescent",4
"E01007317","Stairfoot","Barnsley","On or near Don Drive",5
"E01007317","Stairfoot","Barnsley","On or near Colley Avenue",6
"E01007317","Stairfoot","Barnsley","On or near Sports/Recreation Area",7
"E01007317","Stairfoot","Barnsley","On or near Edward Close",8
"E01007317","Stairfoot","Barnsley","On or near Farm Road",9
"E01007317","Stairfoot","Barnsley","On or near Neville Close",10
"E01007317","Stairfoot","Barnsley","On or near Gerald Place",11
"E01007317","Stairfoot","Barnsley","On or near Colley Crescent",12
"E01007317","Stairfoot","Barnsley","On or near Ash Grove",13
"E01007317","Stairfoot","Barnsley","On or near Foxfield Walk",14
"E01007317","Stairfoot","Barnsley","On or near Birk Green",15
"E01007317","Stairfoot","Barnsley","On or near Sulby Grove",16
"E01007317","Stairfoot","Barnsley","On or near Butterley Drive",17
"E01007317","Stairfoot","Barnsley","On or near Brookside Drive",18
"E01007317","Stairfoot","Barnsley","On or near Lepton Gardens",19
"E01007317","Stairfoot","Barnsley","On or near Burnsall Grove",20
"E01007317","Stairfoot","Barnsley","On or near Lockeaflash Gardens",21
"E01007317","Stairfoot","Barnsley","On or near Laurel Avenue",22
"E01007317","Stairfoot","Barnsley","On or near Rylstone Walk",23
"E01007317","Stairfoot","Barnsley","On or near Hunningley Lane",24
"E01007317","Stairfoot","Barnsley","On or near Sheaf Court",25
"E01007318","Stairfoot","Barnsley","On or near Gerald Walk",26
"E01007318","Stairfoot","Barnsley","On or near Neville Crescent",27
"E01007318","Stairfoot","Barnsley","On or near Blackthorne Court",28
"E01007318","Stairfoot","Barnsley","On or near Maple Close",29
"E01007318","Stairfoot","Barnsley","On or near Colley Place",30
"E01007318","Stairfoot","Barnsley","On or near Birk Terrace",31
"E01007318","Stairfoot","Barnsley","On or near Chestnut Crescent",32
"E01007318","Stairfoot","Barnsley","On or near Lambert Walk",33
"E01007318","Stairfoot","Barnsley","On or near Birk Avenue",34
"E01007318","Stairfoot","Barnsley","On or near Yews Place",35
"E01007318","Stairfoot","Barnsley","On or near Lavender Court",36
"E01007318","Stairfoot","Barnsley","On or near Croft Road",37
"E01007318","Stairfoot","Barnsley","On or near Poplars Road",38
"E01007318","Stairfoot","Barnsley","On or near Applehurst Bank",39
"E01007318","Stairfoot","Barnsley","On or near Thornton Terrace",40
"E01007318","Stairfoot","Barnsley","On or near Birk Crescent",41
"E01007318","Stairfoot","Barnsley","On or near Thornton Road",42
"E01007318","Stairfoot","Barnsley","On or near Redhill Avenue",43
"E01007318","Stairfoot","Barnsley","On or near Birk Road",44
"E01007318","Stairfoot","Barnsley","On or near Yews Lane",45
"E01007319","Stairfoot","Barnsley","On or near Wombwell Lane",46
"E01007319","Stairfoot","Barnsley","On or near Chapel Place",47
"E01007319","Stairfoot","Barnsley","On or near Roehampton Rise",48
"E01007319","Stairfoot","Barnsley","On or near St Pauls Parade",49
"E01007319","Stairfoot","Barnsley","On or near Aldham Crescent",50
"E01007319","Stairfoot","Barnsley","On or near Caulk Lane",51
"E01007319","Stairfoot","Barnsley","On or near Winchester Way",52
"E01007319","Stairfoot","Barnsley","On or near Petrol Station",53
"E01007319","Stairfoot","Barnsley","On or near St Davids Drive",54
"E01007319","Stairfoot","Barnsley","On or near Park/Open Space",55
"E01007319","Stairfoot","Barnsley","On or near St Christophers Close",56
"E01007319","Stairfoot","Barnsley","On or near Chapel Court",57
"E01007319","Stairfoot","Barnsley","On or near Albany Close",58
"E01007319","Stairfoot","Barnsley","On or near St Leonards Way",59
"E01007319","Stairfoot","Barnsley","On or near Ash Street",60
"E01007319","Stairfoot","Barnsley","On or near Supermarket",61
"E01007319","Stairfoot","Barnsley","On or near St Andrews Way",62
"E01007319","Stairfoot","Barnsley","On or near St Clements Close",63
"E01007319","Stairfoot","Barnsley","On or near Foxroyd Close",64
"E01007320","Stairfoot","Barnsley","On or near Birch Road",65
"E01007320","Stairfoot","Barnsley","On or near Lambert Road",66
"E01007320","Stairfoot","Barnsley","On or near Reginald Road",67
"E01007320","Stairfoot","Barnsley","On or near Malcolm Close",68
"E01007320","Stairfoot","Barnsley","On or near Philip Road",69
"E01007320","Stairfoot","Barnsley","On or near Gilbert Grove",70
"E01007320","Stairfoot","Barnsley","On or near Zion Terrace",71
"E01007320","Stairfoot","Barnsley","On or near Gerald Close",72
"E01007320","Stairfoot","Barnsley","On or near Greggs Court",73
"E01007320","Stairfoot","Barnsley","On or near Darton Street",74
