"LSOA_code","LSOA_name","Local_authority_district_code","Local_authority_district_name","IMD_score","IMD_rank"
"E01008144","Sheffield 001A","E08000019","Sheffield",17.495,16329
"E01008145","Sheffield 001B","E08000019","Sheffield",31.785,7400
"E01008148","Sheffield 001C","E08000019","Sheffield",26.938,9753
"E01008149","Sheffield 001D","E08000019","Sheffield",10.726,23341
"E01008150","Sheffield 001E","E08000019","Sheffield",22.076,12703
"E01008142","Sheffield 002A","E08000019","Sheffield",23.42,11787
"E01008143","Sheffield 002B","E08000019","Sheffield",17.224,16551
"E01008146","Sheffield 002C","E08000019","Sheffield",4.226,31060
"E01008147","Sheffield 002D","E08000019","Sheffield",10.254,23891
"E01007888","Sheffield 003A","E08000019","Sheffield",9.254,25140
"E01007892","Sheffield 003B","E08000019","Sheffield",50.497,2137
"E01007893","Sheffield 003C","E08000019","Sheffield",6.295,28819
"E01007898","Sheffield 003D","E08000019","Sheffield",8.217,26472
"E01007899","Sheffield 003E","E08000019","Sheffield",7.33,27585
"E01007900","Sheffield 003F","E08000019","Sheffield",27.133,9649
"E01007901","Sheffield 003G","E08000019","Sheffield",45.95,2994
"E01007887","Sheffield 004A","E08000019","Sheffield",17.589,16252
"E01007889","Sheffield 004B","E08000019","Sheffield",8.123,26590
"E01007890","Sheffield 004C","E08000019","Sheffield",6.589,28493
"E01007891","Sheffield 004D","E08000019","Sheffield",9.577,24735
"E01007894","Sheffield 004E","E08000019","Sheffield",16.575,17140
"E01007895","Sheffield 004F","E08000019","Sheffield",30.321,8091
"E01007896","Sheffield 004G","E08000019","Sheffield",4.884,30415
"E01007897","Sheffield 005A","E08000019","Sheffield",8.268,26406
"E01008134","Sheffield 005B","E08000019","Sheffield",13.61,20039
"E01008135","Sheffield 005C","E08000019","Sheffield",11.978,21832
"E01008137","Sheffield 005D","E08000019","Sheffield",7.154,27807
"E01008141","Sheffield 005E","E08000019","Sheffield",8.587,26005
"E01008053","Sheffield 006A","E08000019","Sheffield",41.124,4185
"E01008056","Sheffield 006B","E08000019","Sheffield",36.847,5500
"E01008058","Sheffield 006C","E08000019","Sheffield",22.135,12653
"E01008138","Sheffield 006D","E08000019","Sheffield",31.317,7607
"E01008139","Sheffield 006E","E08000019","Sheffield",20.594,13764
"E01007856","Sheffield 007A","E08000019","Sheffield",47.543,2690
