"LSOA code (2011)","LSOA name (2011)","Local Authority District code (2013)","Local Authority District name (2013)","Index of Multiple Deprivation (IMD) Score","Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)","Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)","Income Score (rate)","Income Rank (where 1 is most deprived)","Income Decile (where 1 is most deprived 10% of LSOAs)","Employment Score (rate)","Employment Rank (where 1 is most deprived)","Employment Decile (where 1 is most deprived 10% of LSOAs)","Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)","Health Deprivation and Disability Score","Health Deprivation and Disability Rank (where 1 is most deprived)","Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs)","Crime Score","Crime Rank (where 1 is most deprived)","Crime Decile (where 1 is most deprived 10% of LSOAs)","Barriers to Housing and Services Score","Barriers to Housing and Services Rank (where 1 is most deprived)","Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs)","Living Environment Score","Living Environment Rank (where 1 is most deprived)","Living Environment Decile (where 1 is most deprived 10% of LSOAs)","Income Deprivation Affecting Children Index (IDACI) Score (rate)","Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived)","Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs)","Income Deprivation Affecting Older People (IDAOPI) Score (rate)","Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived)","Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs)","Children and Young People Sub-domain Score","Children and Young People Sub-domain Rank (where 1 is most deprived)","Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Adult Skills Sub-domain Score","Adult Skills Sub-domain Rank (where 1 is most deprived)","Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Geographical Barriers Sub-domain Score","Geographical Barriers Sub-domain Rank (where 1 is most deprived)","Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Wider Barriers Sub-domain Score","Wider Barriers Sub-domain Rank (where 1 is most deprived)","Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Indoors Sub-domain Score","Indoors Sub-domain Rank (where 1 is most deprived)","Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Outdoors Sub-domain Score","Outdoors Sub-domain Rank (where 1 is most deprived)","Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Total population: mid 2012 (excluding prisoners)","Dependent Children aged 0-15: mid 2012 (excluding prisoners)","Population aged 16-59: mid 2012 (excluding prisoners)","Older population aged 60 and over: mid 2012 (excluding prisoners)","Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)"
"E01008144","Sheffield 001A","E08000019","Sheffield",17.495,16329,5,0.107,17260,6,0.102,15472,5,15.137,17354,6,0.044,15480,5,-0.007,16654,6,15.309,22653,7,39.725,4797,2,0.148,16421,5,0.116,20389,7,-0.054,17105,6,0.295,16501,6,-0.63,25947,8,0.975,10659,4,1.028,3942,2,0.377,10404,4,1646,329,903,414,912
"E01008145","Sheffield 001B","E08000019","Sheffield",31.785,7400,3,0.235,6249,2,0.218,4005,2,23.692,11552,4,0.875,5425,2,0.431,9977,4,21.303,15180,5,6.555,27522,9,0.259,8797,3,0.251,8354,3,-0.063,17275,6,0.389,7540,3,-0.345,21778,7,1.809,7391,3,-0.612,24859,8,-0.541,24072,8,1463,225,767,471,795
"E01008148","Sheffield 001C","E08000019","Sheffield",26.938,9753,3,0.181,9702,3,0.173,6960,3,39.083,5573,2,0.433,10189,4,0.127,14575,5,24.035,12026,4,6.033,28116,9,0.279,7734,3,0.123,19435,6,0.937,4245,2,0.39,7487,3,0.213,12209,4,1.032,10406,4,-0.729,26207,8,-0.475,23211,8,1500,262,783,455,790.5
"E01008149","Sheffield 001D","E08000019","Sheffield",10.726,23341,8,0.049,28011,9,0.08,19819,7,15.653,16946,6,-0.277,20263,7,-0.479,23601,8,24.887,11182,4,12.032,21386,7,0.067,25840,8,0.052,30483,10,-0.097,17832,6,0.308,15114,5,0.793,4937,2,-1.435,23268,8,-0.041,17078,6,-0.582,24591,8,1474,242,843,389,851.75
"E01008150","Sheffield 001E","E08000019","Sheffield",22.076,12703,4,0.145,12892,4,0.142,9865,4,18.536,14791,5,0.723,6874,3,0.011,16369,5,18.478,18715,6,17.927,16186,5,0.163,15119,5,0.17,14435,5,-0.061,17247,6,0.336,12068,4,-0.248,20133,7,1.045,10368,4,0.269,12573,4,-0.291,20598,7,1442,273,743,426,762.25
"E01008142","Sheffield 002A","E08000019","Sheffield",23.42,11787,4,0.155,11955,4,0.142,9782,3,26.132,10311,4,0.539,8959,3,-0.159,18991,6,23.419,12726,4,19.226,15206,5,0.186,13303,5,0.172,14269,5,0.522,8517,3,0.334,12326,4,0.169,12932,4,1.04,10384,4,0.295,12192,4,-0.147,18409,6,1479,314,871,294,876
"E01008143","Sheffield 002B","E08000019","Sheffield",17.224,16551,6,0.103,17877,6,0.108,14390,5,15.281,17235,6,0.181,13487,5,-0.212,19787,7,21.829,14554,5,27.603,9909,4,0.098,21581,7,0.14,17503,6,0.009,16086,5,0.288,17323,6,0.06,14782,5,1.017,10477,4,0.62,7904,3,0.129,14060,5,1594,275,941,378,957
"E01008146","Sheffield 002C","E08000019","Sheffield",4.226,31060,10,0.033,31167,10,0.045,29050,9,5.602,26648,9,-0.789,26622,9,-1.059,29848,10,20.859,15719,5,5.721,28483,9,0.054,27830,9,0.034,32207,10,-0.507,23948,8,0.196,27475,9,0.72,5587,2,-2.986,29573,10,-1.176,29953,10,-0.153,18495,6,1309,244,691,374,708.5
"E01008147","Sheffield 002D","E08000019","Sheffield",10.254,23891,8,0.057,26389,9,0.069,22739,7,5.525,26752,9,-0.196,19052,6,-0.185,19367,6,29.778,6950,3,9.382,24222,8,0.051,28404,9,0.095,23467,8,-0.703,26472,9,0.221,25028,8,0.875,4284,2,-0.315,17203,6,-0.344,21437,7,-0.403,22234,7,1419,184,737,498,764.5
"E01007888","Sheffield 003A","E08000019","Sheffield",9.254,25140,8,0.066,24367,8,0.066,23392,8,14.604,17735,6,-0.111,17808,6,-0.339,21625,7,15.145,22861,7,9.1,24552,8,0.086,23016,8,0.098,22968,7,-0.069,17358,6,0.29,17053,6,0.194,12529,4,-1.288,22464,7,-0.544,24096,8,-0.137,18260,6,1368,232,828,308,843
"E01007892","Sheffield 003B","E08000019","Sheffield",50.497,2137,1,0.311,2950,1,0.269,1851,1,61.187,1542,1,1.539,1499,1,0.696,6441,2,30.677,6356,2,6.805,27214,9,0.361,4178,2,0.391,2659,1,1.303,1827,1,0.503,1970,1,0.24,11726,4,2.27,5894,2,-0.771,26647,9,-0.267,20255,7,1476,282,815,379,810.75
"E01007893","Sheffield 003C","E08000019","Sheffield",6.295,28819,9,0.055,26869,9,0.059,25358,8,9.888,21979,7,-0.321,20869,7,-0.886,28351,9,14.686,23457,8,5.949,28231,9,0.032,31066,10,0.099,22842,7,-0.436,22960,7,0.268,19605,6,0.212,12223,4,-1.57,23973,8,-0.98,28561,9,-0.235,19745,7,1476,208,821,447,842.5
"E01007898","Sheffield 003D","E08000019","Sheffield",8.217,26472,9,0.059,25950,8,0.056,26266,8,9.967,21907,7,-0.387,21742,7,-0.032,17065,6,17.363,20091,7,12.652,20732,7,0.067,25876,8,0.11,21301,7,-0.658,25965,8,0.289,17203,6,0.25,11567,4,-0.817,19962,7,-0.254,20184,7,-0.009,16217,5,1438,243,947,248,942.25
"E01007899","Sheffield 003E","E08000019","Sheffield",7.33,27585,9,0.044,29274,9,0.069,22558,7,10.085,21770,7,-0.456,22680,7,-0.298,21032,7,17.464,19956,7,7.461,26479,9,0.033,30914,10,0.057,29719,10,-0.562,24724,8,0.283,17884,6,0.316,10531,4,-1.133,21695,7,-1.07,29256,9,0.043,15368,5,1460,228,707,525,739.5
"E01007900","Sheffield 003F","E08000019","Sheffield",27.133,9649,3,0.182,9639,3,0.148,9175,3,33.752,7242,3,0.773,6365,2,0.337,11341,4,23.591,12528,4,10.875,22598,7,0.186,13308,5,0.262,7716,3,0.618,7399,3,0.396,7085,3,0.12,13758,5,1.237,9603,3,-0.351,21530,7,-0.125,18066,6,1692,341,932,419,950.25
"E01007901","Sheffield 003G","E08000019","Sheffield",45.95,2994,1,0.341,2001,1,0.272,1772,1,44.537,4260,2,1.24,2851,1,0.117,14731,5,25.897,10141,4,12.416,20992,7,0.452,1576,1,0.38,2945,1,0.858,4942,2,0.453,3858,2,-0.08,17172,6,2.164,6188,2,-0.281,20556,7,-0.004,16135,5,1468,260,768,440,780
"E01007887","Sheffield 004A","E08000019","Sheffield",17.589,16252,5,0.13,14539,5,0.102,15329,5,23.74,11525,4,0.336,11434,4,0.091,15138,5,15.794,22055,7,10.44,23085,8,0.124,18574,6,0.227,9847,3,0.382,10381,4,0.332,12568,4,-0.177,18912,6,0.273,14068,5,-0.476,23235,8,-0.021,16427,6,1371,240,805,326,831.5
"E01007889","Sheffield 004B","E08000019","Sheffield",8.123,26590,9,0.055,26710,9,0.058,25587,8,11.788,20223,7,-0.282,20338,7,-1.254,31088,10,25.433,10581,4,6.508,27576,9,0.043,29536,9,0.129,18734,6,-0.256,20309,7,0.276,18725,6,0.905,4091,2,-2.076,26397,9,-0.901,27905,9,-0.199,19207,6,2668,613,1613,442,1609.25
"E01007890","Sheffield 004C","E08000019","Sheffield",6.589,28493,9,0.045,29019,9,0.057,25819,8,16.464,16283,5,-0.439,22432,7,-0.751,26966,9,9.855,28950,9,10.452,23070,8,0.025,31877,10,0.089,24385,8,0.162,13653,5,0.279,18355,6,-0.214,19547,6,-1.401,23096,8,-0.45,22894,7,-0.05,16895,6,1422,234,780,408,794
"E01007891","Sheffield 004D","E08000019","Sheffield",9.577,24735,8,0.045,28937,9,0.074,21365,7,9.981,21888,7,-0.43,22319,7,0.271,12361,4,18.25,19014,6,14.195,19233,6,0.028,31497,10,0.071,27600,9,-0.58,24963,8,0.283,17877,6,0.359,9910,4,-1.094,21475,7,-1.079,29323,9,0.744,6105,2,1544,235,762,547,788.5
"E01007894","Sheffield 004E","E08000019","Sheffield",16.575,17140,6,0.106,17431,6,0.07,22404,7,19.298,14277,5,0.417,10389,4,0.314,11706,4,23.017,13175,5,16.1,17588,6,0.125,18469,6,0.194,12343,4,0.266,12091,4,0.299,16084,5,0.459,8483,3,-0.166,16359,5,-0.05,17205,6,0.127,14078,5,1439,246,836,357,850.5
"E01007895","Sheffield 004F","E08000019","Sheffield",30.321,8091,3,0.21,7681,3,0.177,6598,3,44.076,4351,2,0.977,4577,2,-0.17,19143,6,19.391,17580,6,9.109,24536,8,0.289,7219,3,0.259,7910,3,1.03,3483,2,0.418,5698,2,-0.245,20077,7,1.243,9571,3,-0.502,23549,8,-0.191,19100,6,1446,208,778,460,785
"E01007896","Sheffield 004G","E08000019","Sheffield",4.884,30415,10,0.034,31087,10,0.058,25705,8,9.166,22709,7,-0.269,20148,7,-1.235,31002,10,7.182,31018,10,7.849,26024,8,0.04,29922,10,0.054,30209,10,-0.679,26231,8,0.28,18286,6,-0.186,19073,6,-3.139,29973,10,-0.779,26734,9,-0.09,17508,6,1285,185,708,392,740.25
"E01007897","Sheffield 005A","E08000019","Sheffield",8.268,26406,9,0.05,27796,9,0.075,21131,7,16.844,15980,5,-0.045,16777,6,-1.139,30423,10,10.125,28679,9,7.732,26150,8,0.066,25985,8,0.062,29059,9,-0.218,19744,7,0.335,12257,4,-0.276,20604,7,-1.081,21395,7,-0.775,26693,9,-0.111,17839,6,1383,185,634,564,656
"E01008134","Sheffield 005B","E08000019","Sheffield",13.61,20039,7,0.103,17835,6,0.1,15844,5,11.432,20543,7,-0.017,16360,5,0.262,12498,4,6.367,31502,10,14.317,19123,6,0.107,20475,7,0.139,17614,6,-0.263,20430,7,0.272,19213,6,-1.078,30253,10,-0.881,20314,7,-0.018,16742,6,-0.178,18878,6,1327,167,671,489,703.5
"E01008135","Sheffield 005C","E08000019","Sheffield",11.978,21832,7,0.071,23322,8,0.062,24491,8,15.025,17433,6,-0.091,17520,6,0.464,9524,3,12.521,26037,8,21.264,13793,5,0.077,24294,8,0.129,18728,6,-0.042,16899,6,0.292,16871,6,0.02,15490,5,-1.375,22983,7,0.324,11738,4,0.059,15109,5,1759,273,1052,434,1061
"E01008137","Sheffield 005D","E08000019","Sheffield",7.154,27807,9,0.032,31228,10,0.044,29417,9,5.964,26243,8,-0.384,21709,7,0.399,10412,4,19.889,16964,6,8.924,24765,8,0.013,32602,10,0.053,30247,10,-0.737,26852,9,0.232,23733,8,0.384,9522,3,-0.697,19305,6,-0.711,25995,8,0,16045,5,1420,183,693,544,721.25
"E01008141","Sheffield 005E","E08000019","Sheffield",8.587,26005,8,0.053,27241,9,0.051,27684,9,6.216,25975,8,-0.287,20400,7,0.617,7435,3,17.36,20096,7,7.62,26288,9,0.055,27813,9,0.082,25711,8,-0.57,24817,8,0.22,25114,8,0.345,10098,4,-1.349,22815,7,-0.89,27813,9,-0.035,16667,6,1603,262,833,508,854
"E01008053","Sheffield 006A","E08000019","Sheffield",41.124,4185,2,0.266,4751,2,0.262,2075,1,43.847,4403,2,1.317,2435,1,0.047,15842,5,21.96,14396,5,15.454,18142,6,0.321,5758,2,0.291,6310,2,0.722,6255,2,0.468,3229,1,-0.387,22468,7,1.999,6734,3,-0.055,17293,6,0.055,15198,5,1245,212,683,350,687.5
"E01008056","Sheffield 006B","E08000019","Sheffield",36.847,5500,2,0.226,6695,3,0.169,7318,3,68.457,876,1,0.775,6336,2,0.28,12214,4,27.005,9165,3,19.062,15338,5,0.26,8724,3,0.248,8474,3,1.662,611,1,0.492,2336,1,0.134,13533,5,1.883,7146,3,0.229,13134,4,-0.01,16234,5,1497,324,843,330,840.25
"E01008058","Sheffield 006C","E08000019","Sheffield",22.135,12653,4,0.133,14145,5,0.14,10078,4,31.608,7950,3,0.379,10870,4,0.313,11728,4,14.939,23116,8,16.653,17119,6,0.164,15060,5,0.174,14056,5,0.693,6556,2,0.362,9718,3,-0.16,18612,6,0.011,15432,5,-0.263,20307,7,0.46,9332,3,1438,217,799,422,804.25
"E01008138","Sheffield 006D","E08000019","Sheffield",31.317,7607,3,0.209,7756,3,0.19,5677,2,25.363,10674,4,0.946,4826,2,0.545,8403,3,23.006,13191,5,16.957,16869,6,0.1,21377,7,0.335,4407,2,0.01,16068,5,0.398,6966,3,-0.194,19218,6,1.867,7193,3,-0.145,18620,6,0.358,10688,4,1324,220,655,449,662.5
"E01008139","Sheffield 006E","E08000019","Sheffield",20.594,13764,5,0.129,14655,5,0.122,12272,4,27.203,9788,3,0.206,13140,5,0.12,14690,5,23.758,12330,4,16.245,17459,6,0.134,17614,6,0.179,13644,5,0.404,10066,4,0.364,9476,3,0.071,14609,5,1.41,8899,3,-0.194,19319,6,0.341,10922,4,1599,259,874,466,883.25
"E01007856","Sheffield 007A","E08000019","Sheffield",47.543,2690,1,0.32,2629,1,0.236,3060,1,56.305,2149,1,1.202,3047,1,0.726,6120,2,24.835,11237,4,30.678,8360,3,0.407,2650,1,0.37,3222,1,1.207,2312,1,0.485,2590,1,-0.33,21544,7,2.451,5384,2,0.576,8425,3,0.552,8165,3,1341,309,791,241,767.75
"E01008054","Sheffield 007B","E08000019","Sheffield",48.446,2520,1,0.348,1809,1,0.228,3474,2,54.633,2397,1,1.276,2657,1,0.877,4515,2,24.874,11201,4,23.199,12492,4,0.438,1875,1,0.374,3123,1,1.056,3289,2,0.498,2145,1,-0.8,27922,9,2.942,4061,2,0.235,13064,4,0.457,9386,3,1333,353,784,196,762
"E01008055","Sheffield 007C","E08000019","Sheffield",49.763,2268,1,0.353,1701,1,0.236,3034,1,68.586,867,1,1.101,3702,2,0.773,5546,2,24.45,11616,4,17.31,16619,6,0.488,958,1,0.325,4824,2,1.477,1109,1,0.522,1420,1,-0.539,24728,8,2.651,4821,2,0.076,15407,5,0.071,14932,5,1540,386,903,251,885.25
"E01008057","Sheffield 007D","E08000019","Sheffield",43.652,3506,2,0.315,2816,1,0.233,3195,1,54.621,2401,1,0.891,5269,2,0.585,7856,3,20.934,15625,5,27.333,10060,4,0.427,2104,1,0.318,5098,2,1.196,2392,1,0.475,2967,1,-1.067,30170,10,2.434,5431,2,0.472,9704,3,0.431,9721,3,1532,423,884,225,861.75
