id,text,created_at,source,location,retweet_count,reply_count,favorite_count,quote_count,is_quote_status
1116658151426875394,Brave mum-of-two was ‘pimped out at 13 and raped by 40 men at parties' in #Sheffield https://t.co/Jng62jMzNR,2019-04-12 11:03:44,Twitter for iPhone,,90,0,118,0,False
1116318892119461888,"Do you recognise this man? #Sheffield
https://t.co/WbQCHmYoLD",2019-04-11 12:35:38,TweetDeck,,18,0,5,0,False
1118887582266478592,"Roger Dodds was sentenced at Sheffield Crown Court this afternoon
https://t.co/GmAtd7l481",2019-04-18 14:42:42,TweetDeck,,0,0,1,0,False
1118887546908479490,"Roger Dodds was sentenced at Sheffield Crown Court this afternoon
https://t.co/PBZrDxD5th",2019-04-18 14:42:33,TweetDeck,,0,0,0,0,False
1118885535823671301,"Watch out in #Walkley, thieves about! Police are aware, but more needs to be done to protect us and prevent this. The householders was in when this burglary occurred. Didn't deter them. #crime #sheffield #rivelin @CllrBenCurran @syptweet https://t.co/E0qbAoHsym",2019-04-18 14:34:34,Twitter Web App,,0,0,0,0,False
1118873382299131904,RT @kwilliam111: Sheffield man jailed for subjecting girlfriend to beatings and controlling behaviour https://t.co/doQ6IER7nT,2019-04-18 13:46:16,Twitter for Android,,2,0,0,0,False
1118871298044833792,Sheffield man jailed for subjecting girlfriend to beatings and controlling behaviour https://t.co/doQ6IER7nT,2019-04-18 13:37:59,Twitter Web App,,2,0,0,0,False
1118864258111090688,RT @streetsafesheff: UPDATE: Man stabbed after two car collision in Sheffield suburb https://t.co/TT59vxdSAu,2019-04-18 13:10:01,Twitter for Android,,1,0,0,0,False
1118863967076724737,RT @SheffieldStar: This is what residents saw and heard last night #Sheffield https://t.co/pgCvyX2C9i,2019-04-18 13:08:51,Twitter for Android,,0,0,0,0,False
1118863751653089281,"RT @streetsafesheff: Man, 18, hospitalised after shooting in Sheffield suburb late last night https://t.co/kB6FwEJvhJ",2019-04-18 13:08:00,Twitter for Android,,1,0,0,0,False
1118848893419249665,Armed police swoop at Sheffield B&amp;B to arrest man for firearm and drug offences https://t.co/ZqfJNYExdm,2019-04-18 12:08:58,Facebook,,0,0,0,0,False
1118847863604359168,RT @SheffieldStar: Residents call for action after shooting on #Sheffield street https://t.co/CEmjzYz8WB,2019-04-18 12:04:52,Twitter for Android,,1,0,0,0,False
1118846277490491392,Residents call for action after shooting on #Sheffield street https://t.co/YuCUlqYdPc,2019-04-18 11:58:34,IFTTT,,0,0,0,0,False
1118846218606718977,Residents call for action after shooting on #Sheffield street https://t.co/CEmjzYz8WB,2019-04-18 11:58:20,TweetDeck,,1,0,1,0,False
1118846177087246336,Residents call for action after shooting on #Sheffield street https://t.co/vWvcsoFcip,2019-04-18 11:58:10,TweetDeck,,0,0,0,0,False
1116318866127360001,"Do you recognise this man? #Sheffield
https://t.co/DlrUz0Erfv",2019-04-11 12:35:32,TweetDeck,,0,0,0,0,False
1116318807528759296,"RT @LeedsNews: This must have been scary for the woman. Could you help identify this man on the train?

https://t.co/y4hD56fE8C",2019-04-11 12:35:18,Twitter for Android,,6,0,0,0,False
1116314369514713088,"RT @LeedsNews: This must have been scary for the woman. Could you help identify this man on the train?

https://t.co/y4hD56fE8C",2019-04-11 12:17:40,Twitter for Android,,6,0,0,0,False
1116311866597367809,"RT @LeedsNews: This must have been scary for the woman. Could you help identify this man on the train?

https://t.co/y4hD56fE8C",2019-04-11 12:07:43,Twitter for iPhone,,6,0,0,0,False
1116310453783756802,"RT @yorkshirepost: This must have been so scary for the woman. Did you see this man on the train to Leeds?

https://t.co/4fy46wrcAZ",2019-04-11 12:02:06,Twitter Web Client,,1,0,0,0,False
1116309928262688775,"This must have been so scary for the woman. Did you see this man on the train to Leeds?

https://t.co/4fy46wrcAZ",2019-04-11 12:00:01,TweetDeck,,1,0,0,0,False
1116309925523857408,"This must have been scary for the woman. Could you help identify this man on the train?

https://t.co/y4hD56fE8C",2019-04-11 12:00:00,TweetDeck,,6,0,0,0,False
1116308750019833856,"G3 HOLMES Manager, Operation STOVEWOOD, Investigations Command-Sheffield, Yorkshire and the Humber-National Crime  https://t.co/5j4FJCTjSX",2019-04-11 11:55:20,Madgex Twitter Tweeter,,0,0,0,0,False
